BL-DLA-2-AUDIT — Auditoría de éxito del serializador DLA-2
Ejecutado: 2026-05-24 12:46:50
project_root: C:\desarrollo\fondos
CSV:          C:\desarrollo\fondos\proyecto1\db\dla2_serializer_audit.csv
Log:          C:\desarrollo\fondos\proyecto1\db\dla2_serializer_audit.log

======================================================================
  MODO descarga (BD + Excel maestro)
======================================================================
  Excel maestro                           : C:\data\fondos\in\GestoresDeFondosv1.xlsx
  [128/3204] FR001400BU98                 : FAIL_NONE      strat=none fmt=NONE
  [129/3204] FR001400CJ01                 : FAIL_NONE      strat=pdfplumber fmt=NONE
  [130/3204] FR001400I0X7                 : WARN_EUR_ONLY  strat=pdfplumber fmt=EUR
  [131/3204] FR001400JGB5                 : OK_HEURISTIC   strat=heuristic_lines fmt=PCT
  [132/3204] FR001400JGE9                 : OK_HEURISTIC   strat=heuristic_lines fmt=PCT
  [133/3204] FR001400JGG4                 : OK_HEURISTIC   strat=heuristic_lines fmt=PCT
  [134/3204] FR001400JGI0                 : OK_HEURISTIC   strat=heuristic_lines fmt=PCT
  [135/3204] FR001400RZ04                 : WARN_EUR_ONLY  strat=pdfplumber fmt=EUR
  [136/3204] FR001400S680                 : OK_HEURISTIC   strat=heuristic_lines fmt=PCT
  [137/3204] FR001400U4S3                 : WARN_EUR_ONLY  strat=pdfplumber fmt=EUR
  [138/3204] FR0050000860                 : FAIL_NONE      strat=pdfplumber fmt=NONE
  [139/3204] GB00B0WGY707                 : OK_HEURISTIC   strat=heuristic_lines fmt=PCT
  [140/3204] GB00B60SM090                 : OK_HEURISTIC   strat=heuristic_lines fmt=PCT
  [141/3204] GB00BMW6N332                 : FAIL_NONE      strat=none fmt=NONE
  [142/3204] IE0000J01ZR0                 : FAIL_NONE      strat=pdfplumber fmt=NONE
  [143/3204] IE0001257090                 : WARN_EUR_ONLY  strat=pdfplumber fmt=EUR
  [144/3204] IE0002122038                 : WARN_EUR_ONLY  strat=pdfplumber fmt=EUR
  [145/3204] IE0002175093                 : WARN_EUR_ONLY  strat=pdfplumber fmt=EUR
  [146/3204] IE0002458671                 : OK_HEURISTIC   strat=heuristic_lines fmt=PCT
  [147/3204] IE0002459539                 : OK_HEURISTIC   strat=heuristic_lines fmt=PCT
  [148/3204] IE0002460198                 : OK_HEURISTIC   strat=heuristic_lines fmt=PCT
  [149/3204] IE0002461055                 : OK_HEURISTIC   strat=heuristic_lines fmt=PCT
  [150/3204] IE0002639551                 : WARN_NO_OC     strat=heuristic_lines fmt=PCT
